Name,Country_id,Country,Cloudiness (%),Max Temperature (F),Latitude (Deg),Humidity (%),Wind Speed (mph)
Ponta Delgada,3372783.0,PT,20.0,51.8,37.73,87.0,8.05
Mount Abu,1279394.0,IN,0.0,77.88,24.59,49.0,3.71
Paamiut,3421193.0,GL,8.0,26.4,61.99,100.0,16.58
Basco,4863349.0,US,75.0,8.06,40.33,79.0,12.75
Viedma,3832899.0,AR,0.0,74.55,-40.81,34.0,18.81
Peleduy,2018069.0,RU,68.0,16.86,59.63,72.0,7.74
Severo-Yeniseyskiy,1492566.0,RU,88.0,17.4,60.37,71.0,4.61
Kang,933692.0,BW,0.0,70.05,-23.67,31.0,11.32
Billings,5640350.0,US,90.0,39.92,45.79,57.0,13.87
Ostersund,2685750.0,SE,80.0,19.4,63.18,85.0,11.41
George,2344082.0,NG,20.0,78.8,6.63,94.0,6.51
Phak Hai,1607865.0,TH,0.0,89.6,14.46,49.0,5.82
Pierre,5767918.0,US,92.0,2.64,44.37,82.0,14.23
Belmonte,8010472.0,PT,0.0,40.98,40.36,95.0,12.1
Aksarayskiy,583683.0,RU,90.0,33.8,46.79,100.0,8.95
Lat Yao,1152377.0,TH,0.0,88.95,15.75,50.0,7.52
Tiksi,2015306.0,RU,36.0,-43.8,71.64,0.0,2.71
Cabo San Lucas,3985710.0,MX,5.0,66.2,22.89,55.0,9.17
Hilo,5855927.0,US,1.0,71.06,19.71,84.0,18.25
Oxapampa,3933874.0,PE,0.0,44.31,-10.58,94.0,2.37
Geraldton,5960603.0,CA,5.0,-29.21,49.72,66.0,2.24
Yellowknife,6185377.0,CA,90.0,-4.01,62.45,76.0,18.34
Sadiqabad,1166652.0,PK,24.0,60.87,28.31,88.0,8.97
College,5859699.0,US,90.0,-0.05,64.86,83.0,3.04
Gushi,1809223.0,CN,80.0,42.69,32.17,61.0,7.74
Pevek,2122090.0,RU,36.0,-22.92,69.7,100.0,5.84
Rustenburg,958724.0,ZA,0.0,66.54,-25.67,61.0,8.63
Dwarka,1273294.0,IN,40.0,71.6,28.58,46.0,4.61
Teguise,2510573.0,ES,8.0,64.4,29.06,63.0,8.05
Nioro,2413070.0,GM,0.0,60.6,13.79,39.0,10.98
Mandalgovi,2030065.0,MN,0.0,16.68,45.76,52.0,13.11
Dusti,1221871.0,TJ,90.0,39.2,37.35,93.0,15.66
Guerrero Negro,4021858.0,MX,0.0,52.41,27.97,65.0,5.95
Boden,606531.0,SE,0.0,-4.01,65.83,76.0,5.82
Iracoubo,3381428.0,GF,92.0,76.98,5.48,82.0,5.73
Camacha,2270385.0,PT,75.0,60.8,33.08,82.0,20.8
